vehicle_id,event_time,battery_level
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-25 16:03:29.030,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-25 23:46:43.017,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-25 16:59:53.010,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-25 16:47:02.426,76.8
fb20e847-d2a1-4583-b874-393c9d1f3db9,2022-01-25 04:31:02.020,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-25 08:51:48.004,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-25 02:01:46.005,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-25 01:38:28.273,82.7
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-25 04:19:38.024,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-25 02:01:42.018,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-24 20:54:59.013,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-24 22:02:30.026,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-24 18:40:29.033,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-24 16:27:34.406,73.3
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-24 16:27:34.015,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-24 16:27:24.009,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-24 00:36:40.015,77.2
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-24 07:46:04.030,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-24 05:10:34.024,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-23 22:32:05.003,49.8
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-22 21:33:10.113,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-23 06:46:18.016,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-23 01:43:22.077,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-22 23:06:41.011,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-22 23:06:20.018,78.4
9893c80d-f282-46cf-a794-280f0306c936,2022-01-22 23:06:38.018,UNKNOWN
19c4f06a-d5c7-4e51-ae2c-56c5367c0d50,2022-01-22 22:16:04.009,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-22 18:16:33.047,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-22 17:06:19.040,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-22 11:13:14.029,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-21 16:20:58.007,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-22 05:18:20.027,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-22 02:59:29.002,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-22 05:18:25.213,75.2
460a67ab-ee58-4279-b96d-ac56ac029d3e,2022-01-22 03:06:00.004,UNKNOWN
460a67ab-ee58-4279-b96d-ac56ac029d3e,2022-01-21 22:47:57.027,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-21 12:26:56.034,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-21 16:20:35.013,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-21 02:35:08.024,29.4
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-21 00:38:13.023,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-20 22:18:24.334,72.1
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-20 23:54:41.003,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-19 23:09:20.221,43.5
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-20 20:39:27.002,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-20 22:38:21.047,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-20 21:27:26.007,UNKNOWN
460a67ab-ee58-4279-b96d-ac56ac029d3e,2022-01-20 17:57:40.031,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-20 21:27:25.005,UNKNOWN
460a67ab-ee58-4279-b96d-ac56ac029d3e,2022-01-20 00:59:33.001,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-20 13:56:45.211,85.8
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-20 06:42:31.012,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-19 16:54:07.003,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-20 03:19:00.015,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-19 16:53:55.027,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-19 20:12:45.144,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-19 05:31:25.025,UNKNOWN
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-19 14:14:26.060,84.3
fc86bd41-dd55-4d15-bb3f-35e31c7759e6,2022-01-19 01:41:52.373,72.5
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-19 03:06:14.021,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-18 22:13:20.001,UNKNOWN
4d210a10-6c23-41c4-92e1-5b1833f7b54a,2022-01-18 19:52:40.004,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-18 11:51:53.015,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-18 07:25:52.029,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-18 04:10:38.004,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-17 23:24:29.002,UNKNOWN
66bd55df-eaf0-49c8-b9e1-7759b85e9325,2022-01-17 23:24:02.009,42.3
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-17 13:56:16.011,UNKNOWN
9893c80d-f282-46cf-a794-280f0306c936,2022-01-17 16:08:18.027,UNKNOWN
f0704100-56e6-4117-ae4f-cf97e5d2d132,2022-01-17 05:31:05.020,UNKNOWN
3e937810-3a3b-48d6-80ad-56ae12c3bed8,2022-01-17 04:36:17.012,UNKNOWN
